"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","review_per_month"
"1",2595,"Skylit Midtown Castle Sanctuary",2845,"Jennifer","Manhattan","Midtown",40.75356,-73.98559,"Entire home/apt",240,30,49,0.27,3,365,0,0.27
"2",6848,"Only 2 stops to Manhattan studio",15991,"Allen & Irina","Brooklyn","Williamsburg",40.70935,-73.95342,"Entire home/apt",83,30,195,1.04,1,185,4,1.04
"3",6872,"Uptown Sanctuary w/ Private Bath (Month to Month)",16104,"Kae","Manhattan","East Harlem",40.80107,-73.94255,"Private room",65,30,1,0.03,2,83,0,0.03
"4",6990,"UES Beautiful Blue Room",16800,"Cyn","Manhattan","East Harlem",40.78778,-73.94759,"Private room",71,30,250,1.37,1,284,4,1.37
"5",7097,"Perfect for Your Parents, With Garden & Patio",17571,"Jane","Brooklyn","Fort Greene",40.69194,-73.97389,"Private room",205,2,390,2.16,2,215,38,2.16
"6",7801,"Sunny Williamsburg Loft with Sauna",21207,"Chaya","Brooklyn","Williamsburg",40.718807220459,-73.9561767578125,"Entire home/apt",290,30,13,0.07,1,259,1,0.07
"7",8490,"Maison des Sirenes1,bohemian, luminous apartment",25183,"Nathalie","Brooklyn","Bedford-Stuyvesant",40.6845558434491,-73.9396341517568,"Entire home/apt",170,30,190,1.03,2,219,0,1.03
"8",9357,"Midtown Pied-a-terre",30193,"Tommi Laurelle","Manhattan","Hell's Kitchen",40.76724,-73.98664,"Entire home/apt",175,30,58,0.32,1,65,0,0.32
"9",10452,"Radiant Oasis  B&B Style room",35935,"Angela","Brooklyn","Bedford-Stuyvesant",40.68294,-73.95682,"Private room",90,30,81,0.46,6,261,2,0.46
"10",12192,"ENJOY Downtown NYC!",46978,"Edward","Manhattan","East Village",40.72296,-73.98383,"Private room",75,30,316,1.73,2,123,2,1.73
"11",12940,"Charming Brownstone 3 - Near PRATT",50148,"Adreinne","Brooklyn","Bedford-Stuyvesant",40.67946,-73.95417,"Entire home/apt",123,30,78,0.43,1,319,3,0.43
"12",13808,"Writer’s Room for 2 in Brownstone- $1860 monthly",54275,"JT And Tiziana","Brooklyn","Bedford-Stuyvesant",40.68064,-73.94039,"Private room",136,30,204,1.16,4,275,3,1.16
"13",14314,"Greenpoint Place...Has It All!",56246,"Jeanne","Brooklyn","Greenpoint",40.73535,-73.95584,"Entire home/apt",115,30,179,0.99,1,276,2,0.99
"14",15341,"*Nice Nolita 1Bdrm with Elevator and 24h-Doorman*",60049,"Ted","Manhattan","Lower East Side",40.721359,-73.993668,"Entire home/apt",191,30,39,0.29,1,61,2,0.29
"15",15385,"Very, very cozy place",60252,"Maria C","Brooklyn","Williamsburg",40.71211,-73.96397,"Private room",96,30,59,0.33,1,284,3,0.33
"16",16580,"Sunny, Modern room in East Village w City Views",64442,"Reka","Manhattan","East Village",40.7237272322921,-73.9762585050962,"Private room",170,1,600,4.4,2,139,73,4.4
"17",16821,"Charming Room in Amazing East Village Apt. (B)",4396,"Casey","Manhattan","East Village",40.72281,-73.98501,"Private room",152,1,229,1.54,2,46,41,1.54
"18",16974,"SpaHa Loft: Enormous and Bright",65837,"Robin","Manhattan","East Harlem",40.8019,-73.93762,"Entire home/apt",300,30,291,1.61,1,266,0,1.61
"19",17037,"Lovely EV Artist's Home",66035,"Anna","Manhattan","East Village",40.72289,-73.98028,"Entire home/apt",230,30,54,0.3,1,126,1,0.3
"20",18728,"Beautiful Meatpacking District Loft",71876,"DAVID And RICK","Manhattan","Chelsea",40.74261,-74.00353,"Private room",150,30,249,1.5,1,288,3,1.5
"21",19174,"DUPLEX TERRACE in CHELSEA",73164,"Alexis","Manhattan","West Village",40.73917,-74.00207,"Entire home/apt",200,90,67,0.38,1,312,0,0.38
"22",19812,"2 bedroom Williamsburg Apt - Bedford L stop",74857,"Starlee","Brooklyn","Williamsburg",40.71802,-73.95724,"Entire home/apt",105,30,59,0.33,1,326,0,0.33
"23",21794,"COZY QUIET monthly room 4 DOOGLERS!",83257,"Olan","Manhattan","Chelsea",40.74187,-74.00223,"Private room",85,30,36,0.2,2,364,0,0.2
"24",23135,"@HouseOnHenrySt Private 1 bedroom with shared use",11481,"Annette","Brooklyn","Carroll Gardens",40.67747,-74.00146,"Private room",200,30,318,1.81,4,365,1,1.81
"25",23545,"Upper Upper West Side Garden Apartment Townhouse",92411,"Karen","Manhattan","Harlem",40.82825,-73.95138,"Entire home/apt",200,30,215,1.21,1,358,0,1.21
"26",24285,"Beautiful 3 bedroom & 3 bathroom Duplex Apartment",97797,"Brandon","Brooklyn","Park Slope",40.67115,-73.98026,"Entire home/apt",220,30,93,0.53,1,170,3,0.53
"27",26785,"Park Slope Green Guest House",42273,"Dani","Brooklyn","South Slope",40.6686,-73.98723,"Entire home/apt",90,30,479,2.73,3,126,0,2.73
"28",27883,"East Village Sanctuary",120223,"Jen","Manhattan","East Village",40.72421,-73.98509,"Entire home/apt",100,30,25,0.15,1,0,0,0.15
"29",28907,"Garden studio in the Upper East Sid",124352,"Lisa","Manhattan","Upper East Side",40.77827,-73.94669,"Entire home/apt",150,30,19,0.11,1,276,0,0.11
"30",29013,"Cozy Gorgeous Room",35935,"Angela","Brooklyn","Bedford-Stuyvesant",40.68288,-73.95646,"Private room",90,30,74,0.43,6,199,1,0.43
"31",29628,"Comfortable, Sunny Room",127608,"Christopher","Brooklyn","Clinton Hill",40.68292,-73.96381,"Private room",152,3,444,2.53,1,128,61,2.53
"32",31130,"Entire apartment _Most central location!",117287,"Lara Nicole","Manhattan","Hell's Kitchen",40.7672,-73.98464,"Entire home/apt",200,30,75,0.43,3,321,2,0.43
"33",31994,"Room with En Suite Bathroom & Deck",137814,"Waldemar","Brooklyn","Clinton Hill",40.68818,-73.96383,"Private room",127,2,595,3.41,2,306,37,3.41
